"learn_num","learn_title","learn_teacher","image_link","learn_link","price","sale_price"
447,"[딥러닝 전문가 과정 DL1121] 넘파이 마스터 클래스","공대형아","https://cdn.inflearn.com/public/courses/326760/cover/b1a32adf-94aa-44c9-baf8-6df4abd2ccf2","https://www.inflearn.com/course/%EB%84%98%ED%8C%8C%EC%9D%B4-%EB%A7%88%EC%8A%A4%ED%84%B0%ED%81%B4%EB%9E%98%EC%8A%A4",23100,33000
448,"이미지 관리 풀스택(feat. Node.js, React, MongoDB, AWS)","김시훈","https://cdn.inflearn.com/public/courses/326733/cover/7c0fe033-3fae-499c-8b79-6acd970d65db/KakaoTalk_Photo_2021-05-26-19-25-53.jpeg","https://www.inflearn.com/course/%EC%9D%B4%EB%AF%B8%EC%A7%80-%EA%B4%80%EB%A6%AC-%ED%92%80%EC%8A%A4%ED%83%9D",53900,77000
449,"Qt 6 프로그래밍 1편","김대진","https://cdn.inflearn.com/public/courses/326732/cover/9cda2d92-c82c-474b-810e-58e5cc25bc51/%EC%BB%A4%EB%B2%84%EC%9D%B4%EB%AF%B8%EC%A7%80_Qt%206%20%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D_1%ED%8E%B8.png","https://www.inflearn.com/course/qt6-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-1",77000,110000
450,"코딩이 필요 없는 데이터분석, 머신러닝 - Orange3 기초","엘리쌤","https://cdn.inflearn.com/public/courses/326688/cover/dc438df2-fbca-493b-9618-05b656cd733f","https://www.inflearn.com/course/%EC%98%A4%EB%A0%8C%EC%A7%803-%EA%B8%B0%EC%B4%88",-1,0
451,"모의해킹 취업 준비하는데 알아두면 좋은 것","보안프로젝트","https://cdn.inflearn.com/public/courses/326610/cover/ebf9c735-24a2-4c78-83f0-0e407a21f4b4","https://www.inflearn.com/course/%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9-%EC%B7%A8%EC%97%85",-1,0
452,"[딥러닝 전문가 과정 DL1301] 딥러닝 네트워크의 연산","공대형아","https://cdn.inflearn.com/public/courses/326609/cover/b8de89ca-4ebc-4fe0-b106-ce154a6d1795","https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%EA%B8%B0%EC%B4%88",23100,33000
453,"[All that MBA] 마케팅, 어떻게 고객가치를 창출할 것인가","인더스트리미디어","https://cdn.inflearn.com/public/courses/326571/cover/db613d3d-6029-43f9-adb2-9859fb1b59d2","https://www.inflearn.com/course/%EB%A7%88%EC%BC%80%ED%8C%85-%EA%B3%A0%EA%B0%9D%EA%B0%80%EC%B9%98%EC%B0%BD%EC%B6%9C",69300,99000
454,"2021년에는 나도 프로일잘러! To Do, 할 일 관리","오마스","https://cdn.inflearn.com/public/courses/326533/cover/abad326c-58d0-4dc0-b7bf-95b457a2820b","https://www.inflearn.com/course/microsoft-todo",7700,11000
455,"억대 연봉을 버는 프리랜서 개발자 브랜딩 로드맵","프리코더","https://cdn.inflearn.com/public/courses/326476/cover/64966d43-768e-499e-ba1a-017d4063f11b","https://www.inflearn.com/course/%ED%94%84%EB%A6%AC%EB%9E%9C%EC%84%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EB%A1%9C%EB%93%9C%EB%A7%B5",165000,209000
456,"[인공지능 컴퓨터비전] 20장의 사진으로 딥러닝 모델 만들기","Q쌤","https://cdn.inflearn.com/public/courses/326473/cover/a541c3f7-c27a-475b-bede-6934f1c46a91","https://www.inflearn.com/course/%EB%B9%84%EC%A0%84%EA%B3%B5%EC%9E%90-%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-%EC%BB%B4%ED%93%A8%ED%84%B0%EB%B9%84%EC%A0%84",7700,11000
457,"[딥러닝 전문가 과정 DL1102] 딥러닝을 위한 파이썬 레벨2","공대형아","https://cdn.inflearn.com/public/courses/326461/cover/fd9dafd0-1487-4201-9be8-5e8e556d3e48","https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%A0%88%EB%B2%A82",23100,33000
458,"애프터이펙트 시즌2 에피소드3 모션을 지배하라!","디마스터 디마영","https://cdn.inflearn.com/public/courses/326426/cover/2508ddaf-11fd-494f-98f9-fc510d7a74ed","https://www.inflearn.com/course/%EC%95%A0%ED%94%84%ED%84%B0%EC%9D%B4%ED%8E%99%ED%8A%B8-%EB%AA%A8%EC%85%98%EA%B7%B8%EB%9E%98%ED%94%BD",20790,29700
459,"라이노 그라스하퍼 C# 디자인 스크립팅","NJ Namju Lee","https://cdn.inflearn.com/public/courses/326408/cover/391594a3-b5e6-4882-b1c4-99a48968a47f","https://www.inflearn.com/course/%EB%9D%BC%EC%9D%B4%EB%85%B8-%EA%B7%B8%EB%9D%BC%EC%8A%A4%ED%95%98%ED%8D%BC",-1,0
460,"네이버카페 수익화로 따박따박 월세 받는 법! | 온라인 건물주, 무자본으로 온라인에 내 회사 차리기!","작가 글리쌤 ","https://cdn.inflearn.com/public/courses/326396/cover/a7489a25-0f9a-4879-ab64-f4e529d2d41a","https://www.inflearn.com/course/%EB%84%A4%EC%9D%B4%EB%B2%84%EC%B9%B4%ED%8E%98-%EC%88%98%EC%9D%B5%ED%99%94-%EB%AC%B4%EC%9E%90%EB%B3%B8%EC%B0%BD%EC%97%85",34650,49500
461,"[All that MBA] 전략경영, 어떻게 경쟁우위를 만들 것인가","인더스트리미디어","https://cdn.inflearn.com/public/courses/326387/cover/efa39734-4ce9-4d57-a999-5fd130641d54","https://www.inflearn.com/course/%EC%A0%84%EB%9E%B5%EA%B2%BD%EC%98%81-%EA%B2%BD%EC%9F%81%EC%9A%B0%EC%9C%84",69300,99000
462,"Do It! 딥러닝 입문","Haesun Park","https://cdn.inflearn.com/public/courses/326367/cover/e435835a-ee17-4ac5-95d0-935d1c8cd6af","https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%EC%9E%85%EB%AC%B8",-1,0
463,"[하루 10분|C++] 누구나 쉽게 배우는 C++ 프로그래밍 입문","판다코딩","https://cdn.inflearn.com/public/courses/326363/cover/2ec65ea9-9e63-4931-94b2-f6ff9fd9280c","https://www.inflearn.com/course/%ED%95%98%EB%A3%A8-10%EB%B6%84-%EC%94%A8%EC%81%A0%EC%81%A0",-1,0
464,"하루만에 만드는 깃허브 블로그","따라쟁이","https://cdn.inflearn.com/public/courses/326349/cover/14a4fdbb-1c77-49e1-b5de-7854492aaa64","https://www.inflearn.com/course/%EA%B9%83%ED%97%88%EB%B8%8C-%EB%B8%94%EB%A1%9C%EA%B7%B8-%ED%8F%AC%ED%8A%B8%ED%8F%B4%EB%A6%AC%EC%98%A4",7700,11000
465,"운영체제 공룡책 강의","주니온","https://cdn.inflearn.com/public/courses/326346/cover/5eb2b6ed-012c-4faf-b7b0-65f510bce291","https://www.inflearn.com/course/%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C-%EA%B3%B5%EB%A3%A1%EC%B1%85-%EC%A0%84%EA%B3%B5%EA%B0%95%EC%9D%98",-1,0
466,"모바일 게임 해킹(Unity편)","김태환","https://cdn.inflearn.com/public/courses/326337/cover/551d8a2c-2f75-4ab5-8e11-42cbbcac6955","https://www.inflearn.com/course/%EB%AA%A8%EB%B0%94%EC%9D%BC-%EA%B2%8C%EC%9E%84-%ED%95%B4%ED%82%B9-%EC%9C%A0%EB%8B%88%ED%8B%B0",23100,33000
467,"구글 애널리틱스4 (GA4) 미니 코스","Grace Shin","https://cdn.inflearn.com/public/course-326326-cover/18b11a0f-2aa6-4fc4-b90a-0dd6e1d73010","https://www.inflearn.com/course/%EA%B5%AC%EA%B8%80-%EC%95%A0%EB%84%90%EB%A6%AC%ED%8B%B1%EC%8A%A44",4400,0
